Latitude (decimal degrees):	53.139
Longitude (decimal degrees):	8.215
Elevation (m):	10
Radiation database:	PVGIS-SARAH


Slope: 39 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,6.77,3.26,0.0
20050101:0111,0.0,0.0,6.09,3.26,0.0
20050101:0211,0.0,0.0,5.41,3.26,0.0
20050101:0311,0.0,0.0,4.73,3.26,0.0
20050101:0411,0.0,0.0,4.69,3.31,0.0
20050101:0511,0.0,0.0,4.65,3.36,0.0
20050101:0611,0.0,0.0,4.62,3.41,0.0
20050101:0711,0.0,0.0,4.64,3.58,0.0
20050101:0811,11.39,2.47,4.66,3.75,0.0
20050101:0911,89.34,8.06,4.68,3.92,0.0
20050101:1011,40.14,11.92,5.16,4.35,0.0
20050101:1111,541.76,13.73,5.65,4.78,0.0
20050101:1211,30.1,13.34,6.14,5.21,0.0
20050101:1311,24.63,10.79,6.0,5.14,0.0
20050101:1411,12.77,6.28,5.86,5.07,0.0
20050101:1511,0.0,0.17,5.73,4.99,0.0
20050101:1611,0.0,0.0,5.57,5.58,0.0
20050101:1711,0.0,0.0,5.41,6.17,0.0
20050101:1811,0.0,0.0,5.26,6.76,0.0
20050101:1911,0.0,0.0,5.93,7.43,0.0
20050101:2011,0.0,0.0,6.6,8.1,0.0
20050101:2111,0.0,0.0,7.26,8.77,0.0
20050101:2211,0.0,0.0,7.75,9.87,0.0
20050101:2311,0.0,0.0,8.24,10.96,0.0
20050102:0011,0.0,0.0,8.72,12.06,0.0
20050102:0111,0.0,0.0,7.58,11.04,0.0
20050102:0211,0.0,0.0,6.44,10.02,0.0
20050102:0311,0.0,0.0,5.3,9.01,0.0
20050102:0411,0.0,0.0,4.91,9.13,0.0
20050102:0511,0.0,0.0,4.51,9.26,0.0
20050102:0611,0.0,0.0,4.12,9.38,0.0
20050102:0711,0.0,0.0,4.19,9.21,0.0
20050102:0811,11.25,2.5,4.26,9.04,0.0
20050102:0911,171.83,8.11,4.34,8.87,0.0
20050102:1011,494.16,11.98,4.82,9.72,0.0
20050102:1111,491.94,13.81,5.3,10.58,0.0
20050102:1211,110.4,13.44,5.78,11.43,0.0
20050102:1311,312.6,10.9,5.3,10.62,0.0
20050102:1411,186.77,6.4,4.83,9.81,0.0
20050102:1511,0.0,0.29,4.36,8.99,0.0
20050102:1611,0.0,0.0,4.2,8.95,0.0
20050102:1711,0.0,0.0,4.05,8.91,0.0
20050102:1811,0.0,0.0,3.9,8.87,0.0
20050102:1911,0.0,0.0,3.96,8.92,0.0
20050102:2011,0.0,0.0,4.02,8.98,0.0
20050102:2111,0.0,0.0,4.07,9.03,0.0
20050102:2211,0.0,0.0,4.02,9.14,0.0
20050102:2311,0.0,0.0,3.97,9.26,0.0
20050103:0011,0.0,0.0,3.91,9.37,0.0
20050103:0111,0.0,0.0,4.01,8.94,0.0
20050103:0211,0.0,0.0,4.1,8.51,0.0
20050103:0311,0.0,0.0,4.19,8.08,0.0
20050103:0411,0.0,0.0,4.17,8.04,0.0
20050103:0511,0.0,0.0,4.15,7.99,0.0
20050103:0611,0.0,0.0,4.13,7.94,0.0
20050103:0711,0.0,0.0,4.5,7.97,0.0
20050103:0811,11.08,2.54,4.87,8.0,0.0
20050103:0911,34.35,8.16,5.24,8.03,0.0
20050103:1011,27.37,12.05,5.62,7.84,0.0
20050103:1111,43.79,13.9,6.0,7.65,0.0
20050103:1211,17.33,13.54,6.38,7.46,0.0
20050103:1311,22.81,11.01,6.46,7.34,0.0
20050103:1411,15.51,6.53,6.54,7.21,0.0
20050103:1511,1.82,0.42,6.63,7.09,0.0
20050103:1611,0.0,0.0,6.59,7.27,0.0
20050103:1711,0.0,0.0,6.55,7.45,0.0
20050103:1811,0.0,0.0,6.52,7.63,0.0
20050103:1911,0.0,0.0,6.54,7.94,0.0
20050103:2011,0.0,0.0,6.56,8.26,0.0
20050103:2111,0.0,0.0,6.57,8.58,0.0
20050103:2211,0.0,0.0,6.7,8.71,0.0
20050103:2311,0.0,0.0,6.82,8.84,0.0
20050104:0011,0.0,0.0,6.94,8.97,0.0
20050104:0111,0.0,0.0,7.1,9.01,0.0
20050104:0211,0.0,0.0,7.26,9.06,0.0
20050104:0311,0.0,0.0,7.42,9.1,0.0
20050104:0411,0.0,0.0,7.37,9.08,0.0
20050104:0511,0.0,0.0,7.32,9.06,0.0
20050104:0611,0.0,0.0,7.27,9.03,0.0
20050104:0711,0.0,0.0,7.13,9.08,0.0
20050104:0811,10.88,2.58,6.99,9.13,0.0
20050104:0911,24.63,8.22,6.86,9.17,0.0
20050104:1011,12.77,12.13,6.96,9.13,0.0
20050104:1111,16.42,14.0,7.07,9.09,0.0
20050104:1211,17.33,13.66,7.18,9.05,0.0
20050104:1311,14.6,11.14,7.11,9.24,0.0
20050104:1411,17.33,6.66,7.04,9.43,0.0
20050104:1511,1.82,0.56,6.97,9.63,0.0
20050104:1611,0.0,0.0,6.95,9.41,0.0
20050104:1711,0.0,0.0,6.93,9.2,0.0
20050104:1811,0.0,0.0,6.91,8.98,0.0
20050104:1911,0.0,0.0,6.94,8.76,0.0
20050104:2011,0.0,0.0,6.97,8.55,0.0
20050104:2111,0.0,0.0,6.99,8.33,0.0
20050104:2211,0.0,0.0,6.96,7.81,0.0
20050104:2311,0.0,0.0,6.93,7.29,0.0
20050105:0011,0.0,0.0,6.89,6.77,0.0
20050105:0111,0.0,0.0,6.53,6.42,0.0
20050105:0211,0.0,0.0,6.17,6.06,0.0
20050105:0311,0.0,0.0,5.81,5.71,0.0
20050105:0411,0.0,0.0,5.41,5.41,0.0
20050105:0511,0.0,0.0,5.01,5.1,0.0
20050105:0611,0.0,0.0,4.61,4.8,0.0
20050105:0711,0.0,0.0,4.61,4.7,0.0
20050105:0811,10.67,2.63,4.61,4.61,0.0
20050105:0911,52.15,8.29,4.62,4.51,0.0
20050105:1011,105.47,12.21,4.91,4.74,0.0
20050105:1111,39.23,14.1,5.2,4.96,0.0
20050105:1211,26.46,13.77,5.49,5.19,0.0
20050105:1311,55.65,11.27,5.22,5.22,0.0
20050105:1411,55.01,6.8,4.95,5.26,0.0
20050105:1511,1.82,0.71,4.68,5.3,0.0
20050105:1611,0.0,0.0,4.57,5.43,0.0
20050105:1711,0.0,0.0,4.47,5.57,0.0
20050105:1811,0.0,0.0,4.37,5.71,0.0
20050105:1911,0.0,0.0,4.44,5.97,0.0
20050105:2011,0.0,0.0,4.51,6.23,0.0
20050105:2111,0.0,0.0,4.59,6.48,0.0
20050105:2211,0.0,0.0,4.88,6.69,0.0
20050105:2311,0.0,0.0,5.18,6.91,0.0
20050106:0011,0.0,0.0,5.48,7.12,0.0
20050106:0111,0.0,0.0,5.87,7.3,0.0
20050106:0211,0.0,0.0,6.25,7.49,0.0
20050106:0311,0.0,0.0,6.64,7.67,0.0
20050106:0411,0.0,0.0,6.33,7.45,0.0
20050106:0511,0.0,0.0,6.02,7.24,0.0
20050106:0611,0.0,0.0,5.71,7.02,0.0
20050106:0711,0.0,0.0,5.52,6.77,0.0
20050106:0811,10.43,2.69,5.34,6.51,0.0
20050106:0911,106.41,8.36,5.16,6.26,0.0
20050106:1011,107.16,12.31,5.77,6.51,0.0
20050106:1111,269.63,14.21,6.38,6.76,0.0
20050106:1211,135.39,13.9,6.99,7.01,0.0
20050106:1311,172.48,11.4,6.75,6.67,0.0
20050106:1411,342.06,6.94,6.51,6.33,0.0
20050106:1511,13.68,0.85,6.27,5.99,0.0
20050106:1611,0.0,0.0,5.85,6.29,0.0
20050106:1711,0.0,0.0,5.44,6.58,0.0
20050106:1811,0.0,0.0,5.03,6.88,0.0
20050106:1911,0.0,0.0,5.29,7.31,0.0
20050106:2011,0.0,0.0,5.56,7.75,0.0
20050106:2111,0.0,0.0,5.82,8.18,0.0
20050106:2211,0.0,0.0,6.29,8.38,0.0
20050106:2311,0.0,0.0,6.76,8.57,0.0
20050107:0011,0.0,0.0,7.23,8.77,0.0
20050107:0111,0.0,0.0,7.56,9.05,0.0
20050107:0211,0.0,0.0,7.89,9.33,0.0
20050107:0311,0.0,0.0,8.22,9.61,0.0
20050107:0411,0.0,0.0,8.31,9.74,0.0
20050107:0511,0.0,0.0,8.39,9.87,0.0
20050107:0611,0.0,0.0,8.48,10.0,0.0
20050107:0711,0.0,0.0,8.67,9.99,0.0
20050107:0811,10.18,2.75,8.87,9.97,0.0
20050107:0911,11.86,8.44,9.07,9.96,0.0
20050107:1011,13.68,12.41,9.52,9.98,0.0
20050107:1111,21.89,14.33,9.97,10.0,0.0
20050107:1211,19.16,14.03,10.43,10.01,0.0
20050107:1311,43.79,11.55,10.61,9.96,0.0
20050107:1411,34.67,7.09,10.8,9.91,0.0
20050107:1511,10.03,1.01,10.99,9.86,0.0
20050107:1611,0.0,0.0,10.8,9.88,0.0
20050107:1711,0.0,0.0,10.61,9.9,0.0
20050107:1811,0.0,0.0,10.43,9.92,0.0
20050107:1911,0.0,0.0,10.36,9.87,0.0
20050107:2011,0.0,0.0,10.29,9.83,0.0
20050107:2111,0.0,0.0,10.22,9.78,0.0
20050107:2211,0.0,0.0,10.19,9.74,0.0
20050107:2311,0.0,0.0,10.17,9.7,0.0
20050108:0011,0.0,0.0,10.15,9.66,0.0
20050108:0111,0.0,0.0,10.05,9.71,0.0
20050108:0211,0.0,0.0,9.95,9.76,0.0
20050108:0311,0.0,0.0,9.85,9.81,0.0
20050108:0411,0.0,0.0,9.49,10.17,0.0
20050108:0511,0.0,0.0,9.13,10.53,0.0
20050108:0611,0.0,0.0,8.77,10.9,0.0
20050108:0711,0.0,0.0,8.96,11.37,0.0
20050108:0811,9.92,2.83,9.15,11.84,0.0
20050108:0911,59.65,8.53,9.34,12.32,0.0
20050108:1011,20.98,12.51,9.73,13.04,0.0
20050108:1111,175.12,14.45,10.12,13.77,0.0
20050108:1211,258.91,14.17,10.51,14.5,0.0
20050108:1311,238.7,11.7,9.93,13.91,0.0
20050108:1411,227.75,7.25,9.35,13.33,0.0
20050108:1511,11.86,1.17,8.77,12.74,0.0
20050108:1611,0.0,0.0,8.17,12.13,0.0
20050108:1711,0.0,0.0,7.58,11.51,0.0
20050108:1811,0.0,0.0,6.99,10.9,0.0
20050108:1911,0.0,0.0,6.66,10.42,0.0
20050108:2011,0.0,0.0,6.33,9.94,0.0
20050108:2111,0.0,0.0,6.01,9.46,0.0
20050108:2211,0.0,0.0,5.82,9.2,0.0
20050108:2311,0.0,0.0,5.64,8.95,0.0
20050109:0011,0.0,0.0,5.46,8.69,0.0
20050109:0111,0.0,0.0,5.28,8.57,0.0
20050109:0211,0.0,0.0,5.09,8.44,0.0
20050109:0311,0.0,0.0,4.9,8.32,0.0
20050109:0411,0.0,0.0,4.94,8.48,0.0
20050109:0511,0.0,0.0,4.98,8.64,0.0
20050109:0611,0.0,0.0,5.03,8.8,0.0
20050109:0711,0.0,0.0,5.42,8.94,0.0
20050109:0811,9.65,2.9,5.81,9.08,0.0
20050109:0911,31.93,8.63,6.2,9.23,0.0
20050109:1011,82.98,12.63,6.92,8.93,0.0
20050109:1111,36.49,14.58,7.64,8.64,0.0
20050109:1211,78.58,14.32,8.36,8.34,0.0
20050109:1311,474.35,11.86,8.2,7.89,0.0
20050109:1411,19.16,7.41,8.04,7.44,0.0
20050109:1511,4.56,1.34,7.88,6.99,0.0
20050109:1611,0.0,0.0,7.41,6.92,0.0
20050109:1711,0.0,0.0,6.94,6.85,0.0
20050109:1811,0.0,0.0,6.47,6.77,0.0
20050109:1911,0.0,0.0,6.46,7.08,0.0
20050109:2011,0.0,0.0,6.45,7.39,0.0
20050109:2111,0.0,0.0,6.45,7.7,0.0
20050109:2211,0.0,0.0,7.26,8.0,0.0
20050109:2311,0.0,0.0,8.07,8.29,0.0
20050110:0011,0.0,0.0,8.88,8.59,0.0
20050110:0111,0.0,0.0,9.6,8.76,0.0
20050110:0211,0.0,0.0,10.33,8.92,0.0
20050110:0311,0.0,0.0,11.05,9.09,0.0
20050110:0411,0.0,0.0,11.01,9.08,0.0
20050110:0511,0.0,0.0,10.96,9.06,0.0
20050110:0611,0.0,0.0,10.92,9.05,0.0
20050110:0711,0.0,0.0,11.01,8.99,0.0
20050110:0811,9.38,2.99,11.11,8.93,0.0
20050110:0911,68.1,8.73,11.21,8.87,0.0
20050110:1011,503.89,12.75,11.72,8.83,0.0
20050110:1111,73.02,14.72,12.24,8.79,0.0
20050110:1211,709.1,14.47,12.76,8.74,0.0
20050110:1311,561.95,12.02,12.47,8.44,0.0
20050110:1411,516.37,7.58,12.18,8.13,0.0
20050110:1511,16.42,1.51,11.9,7.82,0.0
20050110:1611,0.0,0.0,11.28,7.7,0.0
20050110:1711,0.0,0.0,10.66,7.58,0.0
20050110:1811,0.0,0.0,10.05,7.46,0.0
