Latitude (decimal degrees):	-43.526
Longitude (decimal degrees):	172.640
Elevation (m):	11
Radiation database:	PVGIS-ERA5


Slope: -1 deg. (optimum)
Azimuth: -180 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20050101:0030,743.33,69.47,15.63,1.03,0.0
20050101:0130,681.31,66.34,16.3,1.17,0.0
20050101:0230,574.2,58.35,16.56,2.62,0.0
20050101:0330,547.47,48.33,16.21,3.31,0.0
20050101:0430,345.86,37.59,15.62,4.0,0.0
20050101:0530,261.76,26.74,14.7,4.21,0.0
20050101:0630,145.72,16.11,14.09,3.38,0.0
20050101:0730,29.53,6.0,13.94,2.21,0.0
20050101:0830,0.0,-3.28,13.45,1.03,0.0
20050101:0930,0.0,0.0,13.18,0.07,0.0
20050101:1030,0.0,0.0,12.83,0.83,0.0
20050101:1130,0.0,0.0,12.63,1.52,0.0
20050101:1230,0.0,0.0,12.4,2.07,0.0
20050101:1330,0.0,0.0,12.2,2.55,0.0
20050101:1430,0.0,0.0,11.93,2.9,0.0
20050101:1530,0.0,0.0,11.7,3.1,0.0
20050101:1630,0.0,0.0,11.53,3.31,0.0
20050101:1730,10.44,5.07,11.43,3.38,0.0
20050101:1830,41.57,15.12,11.43,3.59,0.0
20050101:1930,63.51,25.71,11.67,3.79,0.0
20050101:2030,149.69,36.56,11.85,3.93,0.0
20050101:2130,169.44,47.32,12.38,4.0,0.0
20050101:2230,329.44,57.45,12.45,4.07,0.0
20050101:2330,387.3,65.73,13.08,3.93,0.0
20050102:0030,551.35,69.39,13.63,3.66,0.0
20050102:0130,784.79,66.31,14.57,3.31,0.0
20050102:0230,778.43,58.36,15.55,2.69,0.0
20050102:0330,720.59,48.35,16.11,1.86,0.0
20050102:0430,552.9,37.62,16.49,1.38,0.0
20050102:0530,405.98,26.77,16.24,1.72,0.0
20050102:0630,248.87,16.13,15.58,2.83,0.0
20050102:0730,80.88,6.01,14.34,4.0,0.0
20050102:0830,0.0,-3.29,13.02,3.86,0.0
20050102:0930,0.0,0.0,11.98,3.66,0.0
20050102:1030,0.0,0.0,11.44,3.38,0.0
